epoch,n, train_loss, valid_loss
90,1, 290.2836602783, 134.7051568604,
90,2, 281.3601776123, 172.6647229004,
90,3, 306.9870391846, 110.8479925537,
90,4, 320.2954153442, 459.4553625488,
91,0, 255.6122302246, 598.4996716309,
91,1, 209.6270404053, 438.9620959473,
91,2, 248.6406851196, 241.3183892822,
91,3, 224.6370837402, 182.0951379395,
91,4, 252.6738937378, 522.9153662109,
92,0, 224.7927853394, 140.5442282104,
92,1, 337.0685824585, 233.9328436279,
92,2, 357.9105407715, 448.9184521484,
92,3, 223.1126739502, 103.9342572021,
92,4, 215.5131579590, 168.1273416138,
93,0, 300.3984533691, 112.8401663208,
93,1, 275.0021627808, 94.6718307495,
93,2, 239.7095425415, 481.2034020996,
93,3, 192.8377969360, 151.5978573608,
93,4, 210.3583624268, 110.3438626099,
94,0, 241.9721618652, 187.2967431641,
94,1, 398.5772912598, 267.6530993652,
94,2, 266.1409561157, 332.4207818604,
94,3, 297.1970620728, 89.4894400024,
94,4, 251.3669461060, 192.5988128662,
95,0, 245.1179336548, 94.0054075623,
95,1, 202.5530691528, 643.6340075684,
95,2, 276.5450131226, 474.5585009766,
95,3, 239.2774554443, 171.1336535645,
95,4, 232.3057443237, 190.0602093506,
96,0, 232.6206857300, 240.1109887695,
96,1, 257.0426351929, 169.4451321411,
96,2, 247.2834960937, 701.9876782227,
96,3, 290.2204412842, 264.0384997559,
96,4, 266.9857888794, 264.9245709229,
97,0, 291.0245596313, 86.4915467834,
97,1, 211.6334732056, 90.2978318787,
97,2, 220.3412408447, 154.2209475708,
97,3, 220.5401055908, 362.1548980713,
97,4, 272.3145346069, 270.1821807861,
98,0, 196.1908236694, 206.5731188965,
98,1, 237.4295739746, 243.6232568359,
98,2, 202.0698626709, 78.4190780640,
98,3, 257.8485198975, 251.5181677246,
98,4, 251.2439089966, 111.7896066284,
99,0, 302.7654666138, 386.4425756836,
99,1, 441.3780633545, 134.9121267700,
99,2, 290.8679394531, 129.9093414307,
99,3, 368.3812808228, 177.0650930786,
99,4, 335.2761724854, 196.1141235352,
100,0, 222.0542587280, 85.0157612610,
100,1, 155.1830491638, 71.8539617920,
100,2, 245.6126119995, 111.3639367676,
100,3, 230.1665420532, 367.5032885742,
100,4, 262.0541857910, 122.0682800293,
101,0, 217.7596090698, 98.3330679321,
101,1, 230.7678015137, 114.0039877319,
101,2, 204.2836642456, 55.3936334229,
101,3, 233.1548059082, 407.1291699219,
101,4, 205.5358309937, 227.1339971924,
102,0, 213.9822024536, 54.0725808716,
102,1, 197.3208621216, 101.8343301392,
102,2, 261.3257171631, 125.1480526733,
102,3, 211.5629965210, 484.1976684570,
102,4, 205.0822436523, 197.2156491089,
103,0, 228.9439471436, 165.9112881470,
103,1, 168.7138647461, 159.3328775024,
103,2, 237.2226705933, 682.4315930176,
103,3, 230.6357287598, 67.0667626953,
103,4, 166.7466046143, 81.6556843567,
104,0, 195.1385440063, 110.7771664429,
104,1, 256.0811013794, 62.8395732117,
104,2, 255.7338696289, 717.4453784180,
104,3, 216.5181484985, 252.2146966553,
104,4, 158.4010595703, 121.7722763062,
105,0, 204.8902603149, 104.0921279907,
105,1, 209.3606649780, 486.4157080078,
105,2, 191.3637298584, 200.9436584473,
105,3, 199.5261016846, 152.8305035400,
