epoch,n, train_loss, valid_loss
105,1, 158.8573225403, 304.5728942871,
105,2, 215.8920001221, 255.4490087891,
105,3, 147.7468118286, 59.1969665527,
105,4, 154.1880995178, 456.0935180664,
106,0, 162.1327160645, 144.4447814941,
106,1, 131.3436103821, 324.6908801270,
106,2, 143.6682519531, 97.5619644165,
106,3, 142.4781744385, 161.5688696289,
106,4, 131.6616369629, 472.3164794922,
107,0, 151.6374511719, 274.4951708984,
107,1, 171.9656289673, 464.5793713379,
107,2, 196.2422241211, 108.8103701782,
107,3, 193.1431604004, 308.1506365967,
107,4, 199.4976770020, 100.0024198914,
108,0, 162.8533798218, 64.7729573059,
108,1, 226.8456262207, 629.5331542969,
108,2, 201.1471850586, 98.0134152222,
108,3, 212.8509170532, 318.8458843994,
108,4, 189.0430191040, 65.1455183411,
109,0, 132.5289541626, 348.5599627686,
109,1, 126.6039566040, 86.8313868713,
109,2, 148.6734278870, 223.5906060791,
109,3, 199.1368569946, 258.7393664551,
109,4, 193.2916897583, 244.0099261475,
110,0, 176.5382427979, 318.1222711182,
110,1, 179.9165310669, 64.9196134949,
110,2, 155.6910842896, 134.1898147583,
110,3, 151.0514117432, 86.9188476562,
110,4, 202.3935769653, 765.8485498047,
111,0, 247.7803308105, 390.3453979492,
111,1, 199.6161322021, 276.9787597656,
111,2, 188.5154959106, 179.1271862793,
111,3, 168.1854312134, 143.1017956543,
111,4, 152.7196717834, 79.1781838989,
112,0, 185.5255651855, 72.8394303894,
112,1, 147.7835720825, 177.9162554932,
112,2, 122.2901976013, 57.0182473755,
112,3, 148.5943807983, 171.0779617310,
112,4, 134.9122898865, 129.0794464111,
113,0, 159.5764691162, 141.0358990479,
113,1, 144.9404171753, 197.0494470215,
113,2, 144.2499441528, 92.8528523254,
113,3, 159.9027029419, 87.5580331421,
113,4, 139.9662457275, 82.3035472107,
114,0, 180.2011184692, 1107.2360522461,
114,1, 154.5001382446, 257.9995141602,
114,2, 158.8071533203, 178.6549600220,
114,3, 131.0295495605, 248.9185662842,
114,4, 125.4096282959, 74.9678720093,
115,0, 136.5253018188, 87.5795913696,
115,1, 166.2744058228, 145.6044802856,
115,2, 202.4474612427, 357.3031829834,
115,3, 145.1253324890, 92.8847219849,
115,4, 145.8569833374, 403.2218579102,
116,0, 167.7985684204, 151.4001388550,
116,1, 134.9247073364, 67.7980133057,
116,2, 139.3380404663, 417.6911193848,
116,3, 163.5408886719, 638.5904406738,
116,4, 226.4999548340, 380.4603564453,
117,0, 218.0678488159, 398.1095703125,
117,1, 152.8826599121, 224.9773834229,
117,2, 116.3629284668, 34.0131585693,
117,3, 113.8716224670, 95.5453701782,
117,4, 184.1953192139, 142.5671136475,
118,0, 153.9967622375, 89.0204458618,
118,1, 177.7620959473, 129.5390444946,
118,2, 146.0412417603, 758.4356445312,
118,3, 126.3591156006, 77.6540899658,
118,4, 207.7896466064, 129.1882046509,
119,0, 119.4880686951, 149.9147808838,
119,1, 98.0383374023, 51.7376060486,
119,2, 165.0685899353, 930.7849633789,
119,3, 226.8917010498, 355.7573779297,
119,4, 189.5225009155, 227.5284808350,
120,0, 144.1680204773, 288.2027716064,
120,1, 128.0917031860, 81.6332260132,
120,2, 123.5888995361, 126.5568344116,
120,3, 117.8759333801, 281.1840142822,
120,4, 132.0075654602, 193.6692968750,
121,0, 173.1557910156, 119.6619284058,
121,1, 217.4108456421, 454.7151623535,
121,2, 147.9371748352, 237.0254162598,
121,3, 131.1825482178, 242.5148468018,
121,4, 148.3647822571, 385.8039770508,
122,0, 118.2518853760, 168.2123614502,
122,1, 158.0261807251, 399.4642858887,
122,2, 130.1167982483, 94.3181051636,
122,3, 107.3375732422, 232.3988708496,
122,4, 118.9822097778, 252.5886138916,
123,0, 163.6089442444, 431.1137084961,
